"","log2FoldChange","padj"
"LFT_00787",-0.841550544405699,2.97935093734587e-06
"LFT_00857",1.36347517011871,3.33688290669973e-06
"LFT_00768",3.76656458512911,3.37731093499443e-06
"LFT_00930",-1.00887875034914,3.4519601681876e-06
"LFT_00398",3.78077590231195,3.4519601681876e-06
"LFT_01799",-0.903369097547308,3.4519601681876e-06
"LFT_00887",-0.928568810607146,3.62279219206243e-06
"LFT_01800",-1.09082019447951,3.96178707070728e-06
"LFT_00566",1.74730789891195,4.7530672770112e-06
"LFT_02313",-1.37618565037318,5.1777492933016e-06
"LFT_01928",-0.914271170440655,5.28139841785375e-06
"LFT_01196",2.70352335678911,5.5354003388705e-06
"LFT_00944",1.24777240683964,6.35043667079996e-06
"LFT_00451",3.15509496767207,6.45596380327236e-06
"LFT_01617",-0.882581975193346,6.95451927338857e-06
"LFT_02198",2.3662569634281,7.30705887058586e-06
"LFT_02127",-0.881437306015097,7.37404263403537e-06
"LFT_00923",-0.807083419828664,7.68981835275965e-06
"LFT_00805",1.11528066124008,9.34925168066366e-06
"LFT_01923",-1.06250307171544,9.51435327571528e-06
"LFT_00203",1.14441111950832,1.11550266108592e-05
"LFT_00137",-0.892505113263067,1.18325528403059e-05
"LFT_00620",-1.484907014512,1.34720302798365e-05
"LFT_01083",-0.751423672830709,1.80112641724379e-05
"LFT_00926",-1.00602969804635,1.96313095648042e-05
"LFT_00849",-0.776546564398464,1.97373454330765e-05
"LFT_00431",3.04479249601697,1.97373454330765e-05
"LFT_00058",-0.893976271754149,2.02640522122493e-05
"LFT_02195",1.22999872850118,2.16870331026549e-05
"LFT_00766",3.04829656169248,2.30046772998001e-05
"LFT_00958",0.720541551658329,2.58171469702639e-05
"LFT_00963",0.821647594134635,3.50349188574182e-05
"LFT_02125",-0.753251093837654,3.87056473254636e-05
"LFT_01616",-0.968289947770178,3.88693972373216e-05
"LFT_00725",0.970018669788035,3.90043644709753e-05
"LFT_02080",0.995013467676357,4.15940160402753e-05
"LFT_00317",-0.811106079820375,4.15940160402753e-05
"LFT_02603",-0.984652463671721,4.53153383413849e-05
"LFT_00713",-1.45280032113362,4.53485529275028e-05
"LFT_01831",1.24729191679632,4.69560108895726e-05
"LFT_00313",-0.747914008409305,4.80583868683296e-05
"LFT_00640",0.849274880248045,5.36771224712129e-05
"LFT_00996",1.09536469840191,5.53334678038799e-05
"LFT_01719",1.0855154925805,5.87879780094926e-05
"LFT_02307",1.39585875359886,6.04961178488231e-05
"LFT_01238",0.961453398724637,6.93772655251758e-05
"LFT_02017",1.60174662930282,6.93772655251758e-05
"LFT_01701",-0.933221348146624,7.47597355553153e-05
"LFT_00998",1.05943711242205,7.7832075694584e-05
"LFT_00305",-0.987031733638876,8.333743335368e-05
"LFT_01620",-1.08968851615655,8.333743335368e-05
"LFT_02072",-0.697288535007325,8.49200231541168e-05
"LFT_01045",-1.02173972344701,8.49200231541168e-05
"LFT_00915",1.04237927230572,8.87698645933661e-05
"LFT_01914",-0.937613627844061,8.91447232775147e-05
"LFT_00865",-0.885756772054019,9.01546085665573e-05
"LFT_00450",3.59133078499434,9.01546085665573e-05
"LFT_00385",-1.01561123268089,9.2484388612904e-05
"LFT_00239",0.938923038075313,9.2484388612904e-05
"LFT_02021",-0.682228010600334,9.29314420788223e-05
"LFT_01271",-0.923135936995926,9.56069976946912e-05
"LFT_02364",0.801440527916355,9.74897093427801e-05
"LFT_01844",1.00335610254301,9.89603134668215e-05
"LFT_01473",0.646643258359168,0.000106111952045938
"LFT_01500",1.50165474266843,0.000108328236618431
"LFT_00649",0.873035509533409,0.000114964473025746
"LFT_02538",-0.927722084225959,0.00011759224465131
"LFT_01417",-0.755532705446155,0.000121360428885171
"LFT_00534",0.851406318862786,0.000130598926140836
"LFT_00875",0.735438011399525,0.000143693470313309
"LFT_01550",0.795699447335089,0.000155791883592195
"LFT_00465",1.71942441807723,0.000162159641330834
"LFT_01049",0.705996300074369,0.0001669713189683
"LFT_00391",2.15258428891374,0.000175765269711581
"LFT_00378",-0.716289006940629,0.000191886640339419
"LFT_00489",-0.760892184253811,0.000196425084221502
"LFT_01472",-0.835004659966477,0.000222945451115767
"LFT_01295",2.86903048118606,0.000226260380973564
"LFT_00646",-0.847273975211448,0.000226260380973564
"LFT_00107",0.804346391861161,0.000226260380973564
"LFT_00614",-0.627058682964359,0.00022673334064457
"LFT_00616",-0.854827440988333,0.00022673334064457
"LFT_00408",1.24733035710225,0.00022673334064457
"LFT_01499",0.989457993420025,0.000231336152835033
"LFT_00744",-2.01598506085185,0.000238999482038131
"LFT_00803",2.55338501087738,0.000245049715097112
"LFT_01064",0.830259764894111,0.000245905300110863
"LFT_01216",0.811059311444694,0.000254084967454914
"LFT_00179",-0.614707410679153,0.000271612569078775
"LFT_00206",0.766928280566613,0.000273389366440639
"LFT_01060",1.11015266665755,0.000281431462066615
"LFT_01614",-0.773857210345417,0.000299172726459492
"LFT_01133",-0.701739191161607,0.000308827974278273
"LFT_01623",-0.783796463699833,0.000320294925987752
"LFT_00447",3.63640748762827,0.00032196593929894
"LFT_01333",-1.79009703893863,0.000327619608962747
"LFT_01756",-1.17856896594513,0.000376998248094893
"LFT_01217",2.00811064217207,0.000397748650010546
"LFT_00433",3.85153235725056,0.000402882861751914
"LFT_00487",-0.73129612340783,0.000404130090858062
"LFT_00388",-0.828282796601487,0.000404130090858062
"LFT_02251",-0.972036515249214,0.000404130090858062
"LFT_02115",0.692926465518389,0.000414130103483984
"LFT_01270",-0.866427564351003,0.000421468685020603
"LFT_00397",2.59405634208295,0.000426980024618665
"LFT_02300",0.65916503680278,0.000438751499806824
"LFT_00833",-0.849391212573548,0.000447463661059347
"LFT_02325",0.76276455777214,0.000449918527474085
"LFT_01663",0.983158655890831,0.000467210224572649
"LFT_00495",0.7481669456046,0.000475460019417176
"LFT_01332",-1.28205509110806,0.000476909846308513
"LFT_01534",1.05506722007376,0.000479855918112999
"LFT_01376",0.840513794088364,0.000504065180436364
"LFT_01882",-0.6831576463036,0.000504065180436364
"LFT_01397",-1.17813285231866,0.000507311346409706
"LFT_00271",-0.655799845005423,0.000517674329806777
"LFT_01908",-0.785946636263835,0.000564475079060677
"LFT_00615",-0.814500279807299,0.000573308061502054
"LFT_01646",1.00963560684043,0.000612330573268509
"LFT_01287",-0.667275203266817,0.000615386679494931
"LFT_01548",0.746663146167053,0.000636488906590396
"LFT_00308",-0.751878982675112,0.000647361415632004
"LFT_00767",2.98309770492883,0.000647361415632004
"LFT_00262",-0.758719721938309,0.000647361415632004
"LFT_01416",-0.834870085423732,0.000679166373253738
"LFT_01542",0.85397078095656,0.000684100131778171
"LFT_00148",1.1618212791028,0.000684100131778171
"LFT_02326",0.772220291694769,0.000707773390278024
"LFT_00992",0.695819677489831,0.000737563752902237
"LFT_00899",-0.935311852787963,0.000749227552371124
"LFT_00146",0.70610419334064,0.00077295237276686
"LFT_01924",-0.76736964500455,0.000775273500279943
"LFT_02193",0.891665051461118,0.000821664655460079
"LFT_00078",-0.555803943525949,0.000844166971720213
"LFT_00381",-0.724724549033539,0.000845656506949271
"LFT_01905",-0.758906106849858,0.000902941415914365
"LFT_01950",-0.789195678047074,0.000909894624029939
"LFT_00028",-0.942840836757195,0.000975772868825859
"LFT_01982",-0.908921523934621,0.000975772868825859
"LFT_00817",-0.812724171972897,0.000994451291979773
"LFT_00924",-0.820208607027373,0.00099530527868396
"LFT_02029",-0.941145567035235,0.00104147614558651
"LFT_01939",-0.893491870225411,0.00106133675109505
"LFT_00918",-0.880863605911815,0.00113142898287276
"LFT_00741",-2.11161584136859,0.00116931004210219
"LFT_02311",-1.13988236724402,0.0011719072002303
"LFT_01219",-0.627683178477806,0.00121701192148951
"LFT_00813",0.765297842130166,0.00123427436748006
"LFT_00449",1.46551445410016,0.0012592924915137
"LFT_01218",0.867357880809785,0.00126188433563398
"LFT_01650",1.58515738728777,0.00131094459383728
"LFT_01152",-0.690370074300344,0.00137369056009412
"LFT_00570",0.627808043018944,0.001383225530411
"LFT_01147",-0.782777375631924,0.0013920480024259
"LFT_01922",-0.7776600935401,0.00139397270564597
"LFT_02546",0.833077948047359,0.00141049349870384
"LFT_02295",-0.80698155431679,0.00141950862503077
